n,ratio
1,1.0000000000000002
11,0.9972291116158815
21,1.10048075109756
31,0.9182867638507162
41,0.861381551050032
51,1.1296960792285453
61,1.1039460605465135
71,1.0030854204193256
81,1.10187891168654
91,0.9739626894153293
101,0.9157660023797802
111,0.8978844735112658
121,0.8292930538546235
131,1.038163652759897
141,0.8439063437923713
151,1.014438375169016
161,0.8225775747432156
171,1.1119050746469097
181,0.9878564886583571
191,1.0373348822619621
201,1.1661452079665247
211,1.040360128290536
221,0.8949375547402261
231,0.9362232303690302
241,1.1169842818639157
251,1.0441493737624616
261,0.9483107468727352
271,1.036547212730404
281,1.0091720894404836
291,1.1574075361339073
301,1.2563773594583885
311,1.0804334839824388
321,0.9069261029541105
331,1.4021499478600785
341,1.0844812568077433
351,1.097254041599737
361,1.063719084080617
371,1.0584135102310914
381,0.9814747696498202
391,1.152579034598848
401,1.050516724950307
411,1.0397088661858467
421,1.0486406293207633
431,0.9267703897838736
441,0.9483485709248658
451,1.0263129844592396
461,0.9221078619031287
471,0.9726734897322773
481,0.9276214594696737
491,0.9986109477963897
501,0.8893757271026752
511,0.8990015852290403
521,1.0103522940794607
531,1.1916874609641888
541,0.8883711308716282
551,1.0039429610859085
561,0.945676880595814
571,0.9506247467400317
581,0.9501003037194014
591,1.053448402125881
601,0.9877024357169081
611,1.019461148938623
621,1.1628658932386382
631,0.7984629693129623
641,1.0280706750984445
651,1.0323665433058318
661,1.172154373537099
671,0.8528739807272679
681,0.9361866139517925
691,0.9148496638242325
701,0.9475194052606468
711,0.9902033786385526
721,1.045188488447494
731,1.0398921533246928
741,0.8828273680258191
751,1.0386337117364495
761,0.8578001429484138
771,1.1874959370755294
781,1.0652169616700888
791,0.9347103718734328
801,0.9433384223843386
811,1.2083064312608713
821,1.0497566955275746
831,1.0617719342369103
841,1.2157023080382838
851,0.9475730132258522
861,1.0964173392412457
871,0.9132901730886311
881,0.9115982146242559
891,1.0942666968716204
901,1.082171698307447
911,0.9663727198819438
921,1.0825491252580517
931,0.9512497521205173
941,1.0832226647388317
951,1.0534137623718454
961,0.9160461403069379
971,1.041628988325927
981,1.0829502213175255
991,1.0157243205168642
