n,ratio
1,0.9849530545538699
2,1.065688967168721
3,0.9982957567960927
4,0.9959732126482291
5,1.025648735997922
6,1.0332402848058753
7,1.0251661250814472
8,0.9972605680162889
9,0.9448591858460459
10,1.0841196200182641
11,1.0262721349517108
12,1.0379262581988005
13,0.9766374006570544
14,1.0065074357473107
15,1.0381064662238002
16,1.0735435525505403
17,1.0208878711259333
18,1.0126059644502858
19,1.0431085707349919
20,0.9896665585831581
21,0.9734888254364049
22,1.041167709222158
23,1.0329712487507516
24,1.0500838134791406
25,0.9666946632021163
26,0.9992563381787305
27,1.04529370431078
28,0.9448640662382591
29,1.0231128896451755
30,0.9693400717453341
31,1.0087470716881575
32,1.022766130587674
33,1.0636862538713
34,1.0119792914453547
35,1.0759744937051956
36,1.0165173371954639
37,0.9814888908789681
38,1.0167762156456752
39,1.0045431619292298
40,0.9824110698905603
41,0.9961150745190116
42,0.9887232142489089
43,1.0224757652338836
44,1.0390335327141378
45,1.008282931274919
46,1.0207288999546824
47,1.0074838958085892
48,0.9695730389367879
49,0.9435625839622086
50,0.9736535702265884
51,1.0855995381575463
52,0.9174411680748057
53,0.9899316138035948
54,1.0262125213585316
55,1.0394674229352947
56,0.9709713001151441
57,0.9428508447472463
58,0.948590929945091
59,0.9558726910657485
60,0.9521098999893559
61,0.9780961371251625
62,1.0590162747985132
63,1.0441834383076638
64,1.0406437360971115
65,0.9820932741960616
66,0.934994861346407
67,1.011458557042808
68,0.9228924385477195
69,1.057809132424717
70,0.9825653052990595
71,1.0075662631168054
72,1.030409123615068
73,0.9545916593917323
74,0.9043699825340418
75,1.0047161364872887
76,1.03981408317038
77,1.1417881521308557
78,0.9979330829736417
79,1.0043112200847069
80,1.0144502697234798
81,0.9164748081014553
82,0.9550097999687875
83,1.0051700123617124
84,1.0549487540557176
85,0.9989458301304632
86,0.9580095913856443
87,1.0178764206776505
88,0.9766244321108953
89,1.0175036889003206
90,0.9994828427076173
91,1.0038242281774346
92,1.1002134080749912
93,0.9408932055522784
94,1.0018426961147813
95,0.9550772979537754
96,1.0029016538556803
97,0.964678386979634
98,1.0059214478931553
99,0.9253785560816176
100,1.0389284853576852
101,1.0326868874539008
102,1.0228015944097681
103,0.9281604596156627
104,0.9917420961544726
105,0.9668158014042215
106,1.0334703497875164
107,1.059882481369431
108,1.0118801156030035
109,1.140163997360733
110,0.9397453761253391
111,0.9655285134304847
112,1.040396539150955
113,0.9089498543084527
114,1.0024295100158667
115,0.9500303651088036
116,0.9435808697013511
117,0.9763328199612814
118,0.9942504568917736
119,0.9760977187678929
120,0.9511927595623646
121,1.0725962533864022
122,1.0063470196420403
123,0.9963573123944387
124,0.9469951499810364
125,1.0237227232485868
126,0.9920301454469972
127,1.0617878435040844
128,0.982515619408729
129,1.0589174592098956
130,1.0208179866154914
131,0.9422305699614423
132,1.0628830872947308
133,1.0101465605311464
134,0.9656687483936446
135,0.9931548010908506
136,1.017043867251967
137,0.98181979590147
138,1.0292074608530133
139,0.9223283790683913
140,0.9391172092020675
141,1.0634307876133353
142,0.9547019129221341
143,1.0091771312126931
144,0.9082185591499843
145,0.9840144626352442
146,1.0573533940169997
147,0.9457957986759556
148,1.0213887152358303
149,0.9159343659828877
150,1.0151682001846305
151,1.0247290439412597
152,1.0667395586509616
153,1.0843674623866757
154,0.9434522702037029
155,1.0366486609596959
156,1.0349290208072863
157,1.0314317357473488
158,0.9961119628428445
159,0.9786176418086723
160,1.0122069816903556
161,1.076889094258557
162,0.9273624609830327
163,0.9925542759174724
164,0.9838340319580947
165,0.9698916836282625
166,1.079626053339065
167,0.9785998809609056
168,1.0432313695426134
169,0.9939929775238012
170,0.9826724669168482
171,0.9248574257583738
172,0.9908263414018513
173,1.015685732216516
174,1.0158286642779564
175,1.0198331619593446
176,0.9143424589240715
177,0.9633943420068614
178,0.9843319201026973
179,1.0259514936941456
180,1.022277286636353
181,0.9519093631833433
182,1.0061887341362528
183,0.9793962525948272
184,1.0326212043294294
185,1.0352688796382195
186,1.0758230773053026
187,0.9613067593085065
188,1.043158604652648
189,1.0097164093282822
190,0.9823407072250291
191,1.0142216652877707
192,1.0383300667533344
193,1.0279402823958212
194,1.0045239556510048
195,0.9710896377541711
196,0.946140948043998
197,0.9552341140853834
198,0.9699694206454752
199,1.0032544101713692
200,0.9870623838753668
201,0.9866078887643146
202,1.0231547201110482
203,0.9792409196694495
204,1.0549028110858503
205,1.0050359689680173
206,1.0429916353305047
207,0.9959042773695347
208,1.0613694955706965
209,0.982989969087931
210,1.021719590699362
211,1.0127061143039278
212,0.9930186137353046
213,0.9684435460676384
214,0.9742228586546039
