q,1,3,6,12,24,48
0.4975124378109453, 0.98, 0.968, 0.958, 0.946, 0.92, 0.89, 
0.49502487562189057, 0.992, 0.971, 0.956, 0.92, 0.895, 0.845, 
0.49253731343283585, 0.982, 0.95, 0.943, 0.922, 0.883, 0.829, 
0.49004975124378114, 0.97, 0.964, 0.942, 0.896, 0.864, 0.813, 
0.4875621890547264, 0.965, 0.937, 0.915, 0.89, 0.841, 0.781, 
0.4850746268656717, 0.97, 0.94, 0.918, 0.876, 0.815, 0.743, 
0.482587064676617, 0.954, 0.924, 0.91, 0.842, 0.777, 0.711, 
0.4800995024875623, 0.967, 0.93, 0.884, 0.819, 0.787, 0.689, 
0.47761194029850756, 0.945, 0.91, 0.879, 0.823, 0.767, 0.644, 
0.47512437810945285, 0.957, 0.901, 0.863, 0.799, 0.729, 0.614, 
0.47263681592039813, 0.946, 0.884, 0.84, 0.776, 0.708, 0.559, 
0.4701492537313434, 0.947, 0.882, 0.841, 0.779, 0.698, 0.558, 
0.4676616915422887, 0.925, 0.908, 0.83, 0.776, 0.642, 0.552, 
0.465174129353234, 0.944, 0.873, 0.796, 0.72, 0.597, 0.49, 
0.4626865671641793, 0.916, 0.859, 0.802, 0.753, 0.611, 0.439, 
0.46019900497512456, 0.929, 0.85, 0.794, 0.7, 0.574, 0.42, 
0.45771144278606984, 0.914, 0.81, 0.769, 0.673, 0.577, 0.397, 
0.45522388059701513, 0.9, 0.84, 0.751, 0.639, 0.526, 0.367, 
0.4527363184079604, 0.909, 0.839, 0.756, 0.619, 0.524, 0.35, 
0.4502487562189057, 0.904, 0.816, 0.744, 0.6, 0.508, 0.307, 
0.447761194029851, 0.892, 0.826, 0.733, 0.568, 0.492, 0.328, 
0.44527363184079627, 0.883, 0.827, 0.717, 0.618, 0.459, 0.313, 
0.44278606965174155, 0.884, 0.8, 0.726, 0.566, 0.418, 0.251, 
0.44029850746268684, 0.857, 0.79, 0.698, 0.537, 0.421, 0.241, 
0.4378109452736321, 0.871, 0.784, 0.664, 0.547, 0.383, 0.218, 
0.4353233830845774, 0.874, 0.756, 0.651, 0.544, 0.366, 0.192, 
0.4328358208955227, 0.889, 0.757, 0.637, 0.504, 0.377, 0.173, 
0.430348258706468, 0.867, 0.749, 0.648, 0.469, 0.367, 0.17, 
0.42786069651741326, 0.834, 0.702, 0.636, 0.49, 0.335, 0.153, 
0.42537313432835855, 0.857, 0.742, 0.597, 0.472, 0.294, 0.152, 
0.42288557213930383, 0.853, 0.698, 0.611, 0.44, 0.291, 0.142, 
0.4203980099502491, 0.85, 0.712, 0.578, 0.449, 0.302, 0.12, 
