n,0.001,0.01,0.1
57, 3.2231132197055116e-17, 4.33177756123806e-17, -2.4297061646505785e-16, 
58, -4.99601890025671e-17, -5.878625241755267e-17, -1.3370049269823909e-16, 
59, -5.589051089750332e-17, 1.5957613265049567e-17, -3.3983514391352776e-16, 
60, -4.594364962791321e-17, -8.454342283416985e-17, -4.874444471702639e-16, 
61, -3.919321160650623e-17, 5.601186226115064e-17, -4.0885797004175665e-16, 
62, -9.134519503189242e-18, -3.8357994374380245e-17, -5.457760218768208e-16, 
63, 3.594917188686464e-17, -8.321484853599383e-17, -3.668768663674228e-16, 
64, -6.097926471701131e-17, -4.429806843712802e-17, -3.850150885290768e-16, 
65, 3.176496531878262e-17, -7.988613770680645e-17, -3.7999862580882753e-16, 
66, 4.602493016309439e-17, -5.571835481521171e-17, -3.5783504158257007e-16, 
67, -1.6931139327641655e-18, 1.891722017829072e-17, -4.453958868955237e-16, 
68, -8.964300875129595e-18, -8.49423429539807e-17, -5.333552620491679e-16, 
69, 1.7215697824779267e-17, -7.132784959440285e-17, -4.2319417531913335e-16, 
70, 2.0233020350424256e-17, 5.574385241527896e-17, -3.3235382285401437e-16, 
71, -5.092104422597343e-17, -6.295455928873891e-17, -4.326876310751714e-16, 
72, -5.4815642523856415e-17, -4.357631710933689e-17, -5.536688231919411e-16, 
73, -2.709154737197277e-17, -1.0033611679976887e-16, -4.690071994799597e-16, 
74, 5.4804666157243925e-17, -1.1682296234766813e-16, -5.389214488326736e-16, 
75, 3.3873437640674977e-17, -1.5586588254491003e-16, -5.078473710389034e-16, 
76, 3.1593372840130835e-17, -1.2362289113824562e-16, -6.13343239822211e-16, 
77, 5.150104925197072e-17, 1.3699653008717378e-17, -4.1256802695879855e-16, 
78, 2.6068191466425228e-17, -1.963043672596957e-17, -4.0115468437384665e-16, 
79, 4.5712142692270674e-17, -1.1895806996354205e-16, -5.262465673829936e-16, 
80, 5.843991375946552e-18, -6.53728921464215e-17, -6.029512576479382e-16, 
81, 4.974960721381367e-17, -1.279592405403556e-16, -5.094948561113118e-16, 
82, 1.0322912650739465e-17, -4.392283067725985e-17, -5.024385534166537e-16, 
83, 3.447247292556567e-17, -1.1037542201537636e-16, -4.2622396562437096e-16, 
84, -5.814973789969844e-17, -8.187801592211004e-17, -3.428123075366388e-16, 
85, -6.814608731861222e-19, 2.461054037108847e-17, -4.446286769327433e-16, 
86, -6.313743363861338e-17, -1.0390402557867317e-16, -4.4394381323710174e-16, 
87, 2.8517948464291065e-17, 1.2557601465991515e-17, -5.300825768230559e-16, 
88, -4.2276500272725456e-17, -6.422267675175348e-17, -4.559719054844562e-16, 
