n,0.001,0.01,0.1
28, -3.237566185470028e-17, 1.6971688722080267e-16, 4.8531155336403974e-14, 
29, 4.468848883728736e-17, 3.198098633629517e-16, 1.659562777319982e-14, 
30, -1.1177395685586708e-17, 2.952974189502088e-16, 5.255379654039925e-15, 
31, 3.126654759505334e-17, 1.919417007511e-16, 1.205661277463707e-15, 
32, 8.644222303099129e-17, 3.625031113935646e-16, -3.196865624638983e-17, 
33, 2.8951098458514916e-17, 2.495582606621271e-16, -6.648330055136662e-16, 
34, 5.989142864369383e-17, 3.6233634673422087e-16, -8.498656379480987e-16, 
35, 6.136283319733983e-17, 3.5311403202385563e-16, -1.052052335721809e-15, 
36, 5.634954804757852e-17, 3.821967337620601e-16, -1.2063710701060382e-15, 
37, 6.117535728842975e-17, 4.12822703494031e-16, -1.0355970928230192e-15, 
38, 3.941799665752209e-17, 3.6411437007510406e-16, -1.2128495062794173e-15, 
39, 3.2375298557689785e-17, 4.1188793000454354e-16, -1.3442477882041508e-15, 
40, -6.5623964214584125e-19, 3.5397274740551464e-16, -1.3923418102009212e-15, 
41, 8.214307150079856e-18, 3.449150879589769e-16, -1.2949773898318956e-15, 
42, 2.4615970535527955e-17, 4.1551548919107315e-16, -1.4023332949584829e-15, 
43, 9.24319220911956e-17, 3.7283618125467135e-16, -1.4306451344388627e-15, 
44, -1.855872539861628e-17, 4.1231673692662006e-16, -1.44609197205253e-15, 
45, 8.120800784099599e-17, 4.2598076649166555e-16, -1.3666089504100932e-15, 
46, 3.878946694418761e-17, 4.269632488779631e-16, -1.4461163783205437e-15, 
47, 5.2499660178867815e-17, 3.5161842878364804e-16, -1.4493881517450092e-15, 
48, 5.287673438815134e-19, 3.2719880865798084e-16, -1.47426154131865e-15, 
49, -4.234674639245423e-18, 4.898170793525319e-16, -1.4929968912303244e-15, 
50, -1.5545793621273696e-17, 4.89472094582585e-16, -1.5587605162778559e-15, 
51, 2.0290089552033038e-17, 5.001616817341995e-16, -1.7583004900244305e-15, 
52, 9.053186310410501e-17, 4.0550787972536423e-16, -1.7022477819484634e-15, 
53, 3.183292939846777e-17, 3.9220233775281076e-16, -1.6570401095878736e-15, 
54, 6.381132053488662e-17, 4.542299020530231e-16, -1.4196566738149476e-15, 
55, 1.0499035498810391e-16, 3.7443678013899233e-16, -1.6100490170852457e-15, 
56, 1.0200608021942154e-17, 4.571429960296549e-16, -1.6976070720746134e-15, 
57, 1.0246883876293316e-16, 5.845128981723176e-16, -1.7774589145900736e-15, 
58, 6.578912197909809e-17, 5.23318096823014e-16, -1.855534674251548e-15, 
59, 4.374786637764277e-17, 4.308321628141501e-16, -1.845947619437471e-15, 
60, 3.572789467890044e-18, 4.226264562987417e-16, -1.9865125117950186e-15, 
61, 1.088781092745982e-16, 5.736467828550159e-16, -1.9482405832736775e-15, 
62, 4.43475126581212e-18, 6.078278765236821e-16, -2.0154216251459093e-15, 
63, 4.2588853679709975e-17, 5.584496993056022e-16, -1.74580795445266e-15, 
64, 1.1353075467487614e-16, 6.538432104912133e-16, -1.9919628056744165e-15, 
65, 6.580511854210369e-18, 5.705022334694115e-16, -2.038999149959702e-15, 
66, 3.9001764915074534e-17, 6.716267239686032e-16, -1.844085899823869e-15, 
67, 3.915403664870103e-17, 6.1451427483285055e-16, -2.005735128179373e-15, 
68, 2.7387952926896308e-17, 6.180029373708985e-16, -1.876223683867286e-15, 
69, 3.182393403750032e-17, 5.463314929461778e-16, -2.188310731856846e-15, 
70, 3.006712832600106e-17, 5.375492275129717e-16, -2.29159232013978e-15, 
71, 5.407435026657426e-18, 4.930705910826728e-16, -2.277113686437729e-15, 
72, 9.608864383496231e-17, 5.941900236638435e-16, -2.131299351705584e-15, 
73, 7.019860924540136e-17, 5.490949214284786e-16, -2.211164034432022e-15, 
74, 7.895947687073488e-17, 6.365861523317533e-16, -2.3198586068995266e-15, 
75, 6.788091103932673e-17, 6.719370670961467e-16, -2.482398071204264e-15, 
76, 4.3763838426936235e-17, 7.824409765006371e-16, -2.3731769427414753e-15, 
77, 9.362434258120514e-17, 6.329965950866131e-16, -2.405220043703589e-15, 
78, 1.1257579474714552e-16, 6.257577393914833e-16, -2.4639184278411286e-15, 
79, 1.0105761717820099e-16, 7.660617078507565e-16, -2.4331519140704763e-15, 
80, 8.567350371042605e-17, 7.886469023712668e-16, -2.426843986048719e-15, 
81, 5.554678901618501e-17, 6.246473679497733e-16, -2.411513945232022e-15, 
82, 5.3784739088898977e-17, 6.62574883330022e-16, -2.6427767254277114e-15, 
83, 9.290021185357782e-17, 6.983100501823809e-16, -2.4613509906211797e-15, 
84, 5.625521775267576e-17, 7.15565161901828e-16, -2.7380285860233316e-15, 
85, 1.3222794505312693e-16, 7.803668388448219e-16, -2.7314671466103553e-15, 
86, 6.49327445070946e-17, 7.670578556696228e-16, -2.6940728359744526e-15, 
87, 7.138147831341292e-17, 7.763979331679226e-16, -2.6347777289300165e-15, 
